name,category,contraindications,description,drugInteractions,duration,effects,id,intensity,legalStatus,mechanismOfAction,onset,pharmacokinetics,preparation,region,scientificName,sideEffects,tags,therapeuticUses,toxicity,toxicityLD50,activeConstituents,affiliateLink,slug,compounds,sources,needsReview,image,safetyRating,dosage,commonNames,activeCompounds,traditionalUse
"Yellow Horned Poppy","Other","Pregnancy","Coastal poppy used occasionally for its glaucine content.","CNS depressants","2–4 hrs","mild euphoria;sedation","glaucium-flavum","Unknown","Varies","Contains glaucine, a bronchodilator acting on dopamine receptors","20–40 min","Metabolized hepatically","Dried latex or seeds smoked","Mediterranean","Glaucium flavum","Dizziness, nausea","🌀 visionary;💊 oral","Cough suppressant","Moderate",">300 mg/kg (mice)","[object Object]","","yellow-horned-poppy",,,,,,"10–20 mg glaucine",,,
"Yerba Maté",,"Heart conditions, anxiety, pregnancy (high doses).",,"Stimulants, MAOIs, beta-blockers.",,"","yerba-mat",,"Unknown","Contains caffeine, theobromine; acts as CNS stimulant by blocking adenosine receptors.",,"Oral; onset 15–30 min; duration 2–4 hours.",,"Unknown",,"Insomnia, jitteriness, increased heart rate.",,"Mental alertness, energy, antioxidant support.",,"Caffeine LD50 ~190 mg/kg (human est.).",,,"yerba-mat",,,"true","https://upload.wikimedia.org/wikipedia/commons/6/6b/Ilex_paraguariensis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-068.jpg",,,,,
"Yerba Mate","Empathogen / Euphoriant","Anxiety, heart conditions, ulcers","South American herbal stimulant rich in caffeine, theobromine, and theophylline. Traditionally shared as a communal energizing tea.","CNS stimulants, caffeine","3–5 hrs","Stimulation;focus;social energy","yerba-mate","Mild to moderate","Legal","Adenosine receptor antagonism (via caffeine/theobromine)","10–30 min","Onset: 10–30 min; Duration: 3–5 hrs","Hot infusion or cold-brewed (tereré)","Argentina, Paraguay, Brazil","Ilex paraguariensis","Jitteriness, insomnia, GI discomfort in sensitive individuals","stimulant;🌿 social;🔥 energy","Energy, mental clarity, digestion","Low to moderate (long-term use linked to GI issues)","~192 mg/kg (caffeine)",,"","yerba-mate",,,,,,,,,
"Yohimbe","Stimulant / Aphrodisiac","Heart disease, anxiety disorders, MAOIs.","West African tree bark rich in yohimbine, historically used as an aphrodisiac and stimulant.","Interacts with stimulants and antihypertensives","2–4 hrs","Stimulation;increased libido;elevated heart rate","Unknown","Moderate","Restricted or prescription in some countries","Yohimbine blocks alpha-2 adrenergic receptors leading to increased norepinephrine release.","30 min","Oral; onset ~30 min; duration 2–4 hrs.","Bark extracts or standardized tablets.","West Africa","Pausinystalia johimbe","Increased blood pressure, jitteriness, insomnia","🌳 bark;🔥 libido","Used for erectile dysfunction and as a stimulant.","High doses cause anxiety, hypertension, or hallucinations.","LD50 ~50 mg/kg (rats, yohimbine)",,"","yohimbe",,,,"https://upload.wikimedia.org/wikipedia/commons/3/3d/Pausinystalia_yohimbe_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-197.jpg",,,,,
"Yopo","Ritual / Visionary","Asthma, mental health disorders, MAOIs","Used in Amazonian rituals, Yopo seeds are ground and insufflated to induce powerful entheogenic experiences. Contains bufotenine, DMT, and 5-MeO-DMT.","Avoid with antidepressants or MAOIs","30–60 min","Intense visions;altered time perception;spiritual insight","yopo","Very strong","Controlled in many countries due to DMT content","5-HT2A receptor agonist (bufotenine, DMT, 5-MeO-DMT)","1–5 min","Onset: 1–5 min; Duration: 30–60 min","Roasted, ground seeds mixed with alkaline ash and blown nasally","South America (Orinoco, Amazon basin)","Anadenanthera peregrina","Intense nausea, disorientation, respiratory irritation","⚠️ caution;🌬️ snuff;🧠 vision","Shamanic healing, insight rituals","High risk with improper use; bufotenine toxic at high dose","50–80 mg/kg (bufotenine, mice)",,"","yopo",,,,,,,,,
"Prickly Ash","Analgesic / Circulatory Stimulant / Traditional Native American","Avoid in broken oral tissue or wounds. Caution with hot spices or ulcers.","Northern relative of Zanthoxylum clava-herculis, this species was widely used by Native Americans for toothaches, cold limbs, and digestion. Like its southern cousin, it produces a numbing and buzzing sensation when chewed.","Minimal. Theoretical interaction with oral analgesics or vasodilators.",,"Tingling;Local analgesia;Salivation;Circulation boost","zanthoxylum-americanum","Mild–Moderate","Legal worldwide","Sanshools (alkylamides) modulate TRPV1 and TRPA1 channels on nerve endings, producing a buzzing, tingling analgesic effect. Also stimulates saliva and gastric secretions.","Immediate (topical/chewed)","Local onset within seconds. Very fast-acting. Short duration unless used in extract form.","Bark or berries chewed fresh, decocted, or tinctured. Sometimes used in liniments or herbal tooth powders.","North America (Northern U.S., Canada)","Zanthoxylum americanum","Local irritation or tingling. Mild drooling or numbing. Rare allergic reactions.","🦷 Oral care;🌿 Native American;🫦 Tingling;🔥 Circulatory","Used topically or chewed for oral pain, indigestion, sluggish circulation, or nerve support. Historically used in decoctions or salves.","Low in traditional use","Not established",,,"zanthoxylum-americanum",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144794/;Native American Ethnobotany – Moerman;Plants of the Gods – Rätsch","false",,,,,,
"Sichuan Pepper","Digestive / Circulatory / Sensory-Modulating","Avoid in mucosal lesions or in large doses during pregnancy.","Used in Chinese cuisine and medicine, Sichuan pepper causes a tingling numbness and has been traditionally used to support digestion and stimulate circulation. Its unique effect is due to hydroxy-alpha-sanshool.","May alter absorption of other herbs or drugs via GI stimulation.",,"Tingling sensation;Digestive stimulant;Mild analgesia;Circulation support","zanthoxylum-bungeanum","Mild–Moderate","Legal worldwide","Sanshools activate somatosensory ion channels (TRPA1, TRPV1) leading to a buzzing/tingling anesthetic effect. Also improves gastric secretions and peripheral blood flow.","5–15 min","Topical and oral activity. Rapid onset. Effects can last ~30–60 min per dose.","Dried seed husks used in decoctions, spice blends, or infused oils. Sometimes extracted for sanshool.","China, East Asia","Zanthoxylum bungeanum","Can cause intense tingling. Overuse may irritate GI tract or cause local numbness.","🌶️ Tingling;🍽️ Digestive;🩸 Circulatory;🌿 Culinary-medical","Used to improve digestion, relieve stomach cramps, stimulate salivation, reduce cold extremities, and in topical pain blends.","Low","Not fully established; safe in culinary and moderate medicinal use",,,"zanthoxylum-bungeanum",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452023/;Chinese Herbal Materia Medica;Journal of Ethnopharmacology","false",,,,,,
"Zanthoxylum clava-herculis","Analgesic / Stimulant","Mouth ulcers or sensitive gums","Also called the toothache tree; its bark creates a tingling numbness and light stimulation when chewed.","May interact with other numbing agents","1–3 h","mouth numbness;mild stimulation;pain relief","zanthoxylum-clava-herculis","Mild","Legal","Bark contains sanshools that cause paresthesia and stimulate trigeminal nerves","Within minutes","Onset within minutes when chewed; duration 1–3 h","Fresh bark chewed or made into tincture","Southeastern United States","Zanthoxylum clava-herculis","Tingling, salivation, mild stomach upset","north america;tingling;toothache tree","Native American remedy for toothaches and sore throats; also used as a tonic","Low in customary doses","Not established",,"","zanthoxylum-clava-herculis",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5656514/;Native American Ethnobotany – Moerman;Plants of the Gods – Rätsch","false",,,,"Toothache Tree;Southern Prickly Ash","Pellitorine;Sanshools","Used by Native Americans to numb toothaches and energize."
"Corn Silk","Diuretic / Urinary Tract / Soothing","Avoid with diuretic medications or in cases of severe kidney disease unless supervised.","The long threads of corn (called silk) are a gentle herbal remedy for urinary tract issues, swelling, and kidney function. Used in teas for centuries in both Native American and Chinese traditions.","May enhance diuretics or alter potassium levels. Mild blood pressure effects.",,"Urine flow increase;Soothing;Kidney support;Anti-inflammatory","zea-mays-stigma","Mild","Legal worldwide","Contains flavonoids, saponins, and potassium that increase urine output, reduce inflammation, and soothe irritated tissues.","30–60 min","Orally active. Onset 30–60 min. Duration ~2–6 hrs depending on fluid intake.","Fresh or dried corn silk brewed into tea or decoction. Can be tinctured or included in bladder blends.","Worldwide (where corn is cultivated)","Zea mays (stigma)","Rare. May cause mild electrolyte loss or allergic reaction in corn-sensitive individuals.","🌾 Kidney support;💧 Diuretic;🫖 Soothing;🌿 Folk remedy","Used for UTIs, bladder inflammation, bedwetting, kidney stones, and fluid retention. Also mildly calming.","Very low","Not established; extremely safe at traditional doses",,,"zea-mays-stigma",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121893/;Plants of the Gods – Rätsch;Journal of Medicinal Plants Research, 2011","false",,,,,,
"Ginger","Digestive / Anti-inflammatory / Stimulant","Caution with anticoagulants, gallstones, or gastritis in high doses.","A pungent rhizome widely used for its warming, carminative, and anti-inflammatory effects. Revered in Ayurvedic and traditional Chinese medicine for treating nausea, coldness, and sluggish digestion.","May interact with blood thinners or diabetes meds. Synergistic with anti-nausea agents.",,"Digestive support;Anti-nausea;Circulation boost;Mild stimulation","zingiber-officinale","Mild–Moderate","Legal worldwide","Contains gingerols and shogaols that modulate prostaglandins, TRP ion channels, and serotonin receptors involved in nausea.","15–30 min","Orally active. Onset ~15–30 min. Duration 2–4 hrs. Absorbed in the GI tract; metabolized by liver.","Fresh or dried root used in teas, tinctures, capsules, or cooking. Often paired with honey and lemon.","Tropical Asia, cultivated globally","Zingiber officinale","Heartburn, stomach upset in large doses. Rare allergic reactions.","🌶️ Warming;🫖 Anti-nausea;🫁 Circulation;🌿 Culinary","Used for nausea, morning sickness, motion sickness, colds, pain, and poor circulation. Also a culinary spice and tea staple.","Very low",">5000 mg/kg (rats, oral)",,,"zingiber-officinale",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3665023/;Herbal Medicine – Mills & Bone;Plants of the Gods – Rätsch","false",,,,,,
"Shampoo Ginger","Anti-inflammatory / Aromatic / Dermatological","Caution during pregnancy. Not for chronic high-dose ingestion.","A tropical ginger species prized for its aromatic rhizomes and milky juice-filled cones used in traditional Polynesian medicine and hair care. Mildly relaxing and soothing, both internally and externally.","May mildly enhance absorption or circulation of co-administered compounds.",,"Skin and hair care;Topical anti-inflammatory;Digestive aid;Aromatic relaxant","zingiber-zerumbet","Mild","Legal worldwide","Zerumbone and essential oils contribute to anti-inflammatory, antioxidant, and antimicrobial effects. Soothes skin, modulates TRP channels, and supports digestion.","15–45 min","Topical or oral. Onset 15–45 min. Duration varies with use form.","Pressed juice from cones for hair/scalp. Rhizome used in teas, decoctions, or fermented pastes.","Hawaii, Southeast Asia, Pacific Islands","Zingiber zerumbet","Rare. May cause skin sensitivity in some. Avoid in large oral doses without preparation.","🫧 Hair care;🌿 Soothing;🔥 Anti-inflammatory;🌺 Polynesian use","Used topically for hair conditioning, inflammation, burns, and fungal issues. Internally for nausea, digestive support, and respiratory infections.","Low","Not well established; traditionally regarded as safe",,,"zingiber-zerumbet",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8751302/;Hawaiian Ethnobotany – Beatrice Krauss;Plants of the Gods – Rätsch","false",,,,,,
"Jujube","Sedative / Adaptogen / Digestive","None major. Caution in hypotensive patients due to mild sedative effects.","A traditional fruit in Chinese and Middle Eastern medicine, jujube is used as a tonic, sleep aid, and digestive harmonizer. Rich in antioxidants and calming saponins.","May enhance sedative or anxiolytic medications.",,"Sleep support;Stress reduction;Digestive regulation;Immune modulation","ziziphus-jujuba","Mild","Legal worldwide","Jujubosides interact with GABA-A receptors and modulate cortisol. Flavonoids and triterpenes provide antioxidant and anti-inflammatory effects.","30–60 min","Orally active. Onset ~30–60 min. Cumulative adaptogenic effects over days.","Fruit eaten raw, dried, or in decoctions. Also used in syrups and extracts.","China, Middle East, Mediterranean","Ziziphus jujuba","Rare; well tolerated. Mild drowsiness or loose stool at high doses.","🍎 TCM;💤 Sleep;🛡️ Immune;🌿 Mild adaptogen","Used for insomnia, anxiety, poor appetite, fatigue, and gastrointestinal upset. Often included in TCM formulas like Suan Zao Ren Tang.","Low","Not well documented; safe in dietary and medicinal use",,,"ziziphus-jujuba",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267325/;Journal of Ethnopharmacology;Chinese Herbal Medicine – Bensky & Gamble","false",,,,,,
"Wild Jujube Seed","Sedative / Anxiolytic / Traditional Chinese Medicine","Caution in hypotension or concurrent sedative use.","The seeds of this wild jujube are used in Traditional Chinese Medicine (TCM) for calming the spirit and nourishing the heart. A key herb in formulas for insomnia and anxiety, including Suan Zao Ren Tang.","May enhance effects of sedatives, hypnotics, or anxiolytics.",,"Sleep promotion;Anxiety relief;Dream regulation;Heart-calming","ziziphus-spinosa","Mild–Moderate","Legal worldwide","Jujubosides and flavonoids interact with GABA receptors and modulate neurotransmitters like serotonin and dopamine. Mildly hypnotic and anxiolytic.","45–60 min","Orally active. Effects noticeable within ~60 min. Best with regular use over days.","Roasted or raw seed powder, decoction, or pill form. Often used in combination with other calming herbs.","China, Korea, Japan","Ziziphus spinosa","Rare. Large doses may cause mild GI upset or daytime drowsiness.","💤 Sleep;🧘 Calm;🌿 TCM;🌙 Dream","Used for insomnia, restlessness, palpitations, excessive dreaming, and mental fatigue.","Low","Not well documented; safe in traditional use",,,"ziziphus-spinosa",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6163148/;Chinese Herbal Medicine – Bensky;Plants of the Gods – Rätsch","false",,,,,,
