Name,Scientificname,Region,Description,Effects,Mechanismofaction,Therapeuticuses,Sideeffects,Contraindications,Druginteractions,Toxicity,Legalstatus,Preparation,Onset,Intensity,Sources,Activecompounds,name_norm
Psilocybe mexicana,Psilocybe mexicana,"Oaxaca, Mexico",A psilocybin-containing mushroom central to Mazatec rituals; induces visionary states and spiritual insight.,"Visual hallucinations, euphoria, altered perception of time","Psilocybin converted to psilocin, acting as serotonin receptor agonist (5-HT2A)","Spiritual guidance, anxiety reduction, depression (studied clinically)","Nausea, confusion, anxiety at high doses","Psychotic disorders, recent trauma","SSRIs, MAOIs",Low,Illegal in many countries; decriminalized in some regions,Eaten fresh or dried in ritual context,20–40 min,Strong,Mazatec ceremonial use,"Psilocybin, psilocin",
Calea zacatechichi,Calea zacatechichi,Mexico and Central America,"Known as the 'dream herb' among Chontal and Nahua peoples, used to induce lucid and prophetic dreams.","Mild sedation, dream enhancement, mental clarity",Exact pathway unclear; likely GABAergic and cholinergic modulation,"Sleep aid, dream recall enhancer, calming agent","Bitter taste, nausea","Pregnancy, liver conditions","Sedatives, sleep aids",Low,Legal,Infused as tea or smoked,15–45 min,Mild,"Chontal, Nahua dream ceremonies","Germacranolides, sesquiterpenes",
Tagetes lucida,Tagetes lucida,"Mexico, Central America",Also known as Mexican tarragon; used by Aztec and Huichol for divination and ritual intoxication.,"Mild euphoria, visual enhancement, calming",Flavonoids and coumarins influence GABA and serotonin,"Mood enhancer, digestive tonic, antimicrobial",Mild dizziness at high doses,None known in ritual doses,CNS depressants,Low,Legal,Smoked or brewed in teas; used in incense,15–30 min,Mild to moderate,"Aztec rituals, Huichol ceremonies","Estragole, quercetin, anethole",
Diplopterys cabrerana,Diplopterys cabrerana,"Amazon Basin (Peru, Colombia)",A powerful DMT-rich plant used with Banisteriopsis caapi in ayahuasca brews for visionary healing.,"Visual hallucinations, spiritual insight, altered consciousness",DMT acts as serotonin receptor agonist (5-HT2A); orally active when combined with MAOIs,"Shamanic healing, divination, emotional release","Nausea, vomiting (purging), disorientation","Mental health disorders, heart disease","MAOIs, SSRIs, stimulants",Low when prepared traditionally,Controlled in many countries (DMT),Boiled with Banisteriopsis caapi in ayahuasca,30–60 min (oral),Strong,"Shipibo-Conibo, Asháninka ayahuasca rituals","N,N-DMT",
Virola calophylla,Virola calophylla,Western Amazon (Shuar territory),A resin-producing tree whose bark exudate is snuffed for visionary and healing purposes.,"Rapid-onset hallucinations, intense inner visuals, altered body sensation","DMT, 5-MeO-DMT, and bufotenine as serotonin agonists","Spiritual cleansing, initiation rituals","Nausea, brief paralysis, sweating","Heart issues, psychosis","MAOIs, serotonergic drugs",Moderate; potency varies,Illegal where DMT is restricted,Resin snuffed after drying with plant ashes,1–5 min (nasal),Very strong,Shuar and other Amazonian peoples,"Bufotenine, 5-MeO-DMT, DMT",
Ilex guayusa,Ilex guayusa,Ecuadorian and Peruvian Amazon,"A caffeinated holly leaf used in communal early morning rituals for clarity, strength, and dream sharing.","Stimulation, vivid dreaming, clarity",Caffeine and theobromine stimulate CNS,"Stimulant, digestive aid, lucid dream enhancement","Insomnia, increased heart rate","Hypertension, anxiety disorders","Stimulants, MAOIs",Low,Legal,Brewed into tea (infusion),15–30 min,Mild to moderate,Kichwa and Asháninka morning rituals,"Caffeine, theobromine",
Tabernaemontana sananho,Tabernaemontana sananho,"Amazonian Peru, Brazil, Colombia",Used by shamans to cleanse spiritual illnesses and enhance other plant effects.,"Calm, mild sedation, spiritual purification",Indole alkaloids; unclear full pharmacology,"Detoxification, spirit cleansing, ear infections","Drowsiness, mild dizziness",Pregnancy,CNS depressants,Low,Legal,Drunk or used topically in rituals,20–40 min,Mild,Asháninka and Mestizo shamans,"Voacangine, coronaridine",
Anadenanthera peregrina,Anadenanthera peregrina,"Venezuela, Brazil, Colombia","Seed-based snuff called yopo, containing DMT and bufotenine, used in initiation ceremonies.","Strong visual and auditory hallucinations, ego dissolution",DMT and bufotenine as serotonin agonists,"Ritual purification, spiritual journeying","Sneezing, nausea, anxiety","Respiratory disorders, psychosis","MAOIs, serotonergic medications",Moderate,Restricted in many regions (DMT),"Seeds roasted, powdered, mixed with ash and snuffed",1–5 min,Strong to very strong,"Yanomami, Piaroa, Tukanoan shamans","DMT, bufotenine",
Theobroma cacao,Theobroma cacao,Amazon Basin and Mesoamerica,Traditionally sacred among Maya and Amazonian cultures; mild psychoactive enhancing other medicines.,"Euphoria, enhanced perception, emotional opening",Theobromine and anandamide modulate mood and cognition,"Mood improvement, heart tonic, ceremonial stimulant","Mild stimulation, heart palpitations in excess","Heart arrhythmia, caffeine sensitivity",Stimulants,Low,Legal,"Ceremonial drinks, raw nibs",30 min,Mild,"Amazonian mestizo traditions, Maya ceremonies","Theobromine, caffeine, phenylethylamine",
Datura ferox,Datura ferox,Southern Africa,A deliriant nightshade used in Zulu and Tsonga shamanic healing for powerful visions.,"Hallucinations, delirium, disorientation",Anticholinergic: blocks acetylcholine via scopolamine and atropine,"Visionary ritual, divination, spiritual cleansing (risky)","Toxicity, confusion, overheating, dry mouth","Heart disease, psychiatric conditions, glaucoma","Anticholinergics, sedatives",High (potentially lethal),Legal but restricted in some areas,Smoked or used in controlled ritual under healer guidance,15–30 min (inhalation),Extremely strong and unpredictable,Zulu and Tsonga traditional uses,"Scopolamine, atropine",
Helinus integrifolius,Helinus integrifolius,Southern and Eastern Africa,A calming herb used in herbal blends by traditional healers for sedation and mood stabilization.,"Mild sedation, anxiolytic effects",Unclear; likely CNS depressant alkaloids or flavonoids,"Anxiety, restlessness, spiritual purification","Drowsiness, lightheadedness","CNS depression, alcohol","Sedatives, benzodiazepines",Low,Legal,Infused as tea or part of herbal mixtures (ubulawu),20–40 min,Mild,Zulu and Xhosa healing systems,Flavonoids (tentative),
Zanthoxylum capense,Zanthoxylum capense,South Africa,"Known as 'wild pepper', this stimulant shrub enhances sensory awareness and spiritual focus.","Stimulation, enhanced alertness",Possibly piperidine alkaloids or limonoids affecting CNS,"Stimulant, energy, spiritual invigoration","Mouth tingling, heart palpitations",Hypertension,"Stimulants, MAOIs",Low to moderate,Legal,"Chewed fresh, infused, or added to ritual mixtures",10–20 min,Moderate,"Xhosa, Zulu herbal traditions","Alkaloids, essential oils",
Clerodendrum glabrum,Clerodendrum glabrum,Southern Africa,Traditional calming herb used in stress and sleep-related treatments by healers.,"Sedation, muscle relaxation, calm",Unclear; possibly GABAergic or CNS depressant activity,"Anxiety, spiritual tension release, sleep aid","Mild sedation, fatigue","Heavy machinery, sedative medications",CNS depressants,Low,Legal,Consumed as tea or added to mixtures,30 min,Mild,Zulu traditional medicine,"Phenolics, unknown sedative agents",
Cannabis indica,Cannabis indica,India,"Used in bhang, ganja, and tantric rituals to induce altered states of consciousness and spiritual ecstasy.","Euphoria, time distortion, mild hallucinations, increased introspection","Cannabinoid receptor agonist (CB1, CB2) via THC and other cannabinoids","Pain relief, stress reduction, ritual intoxication, spiritual initiation","Dry mouth, anxiety, memory disruption, increased appetite","Psychosis, heart conditions, pregnancy","CNS depressants, alcohol, antipsychotics",Low; generally well tolerated in ritual use,Illegal/restricted in many jurisdictions; ritual bhang legal in parts of India,"Consumed as bhang, smoked as ganja, used in tantric elixirs",10–60 min depending on route,Mild to strong depending on dose,"Tantric, Ayurvedic, and rural Indian traditions","THC, CBD, terpenes",
Ligusticum chuanxiong,Ligusticum chuanxiong,China,A traditional Chinese herb used to enhance blood circulation and mental clarity; employed in Daoist meditative formulas.,"Cerebral stimulation, mood stabilization","Increases cerebral blood flow, modulates neurotransmitters","Headaches, fatigue, anxiety, poor circulation","Dizziness, gastrointestinal discomfort","Pregnancy, bleeding disorders","Anticoagulants, vasodilators",Low,Legal in most countries,Used in teas and decoctions,30–60 min,Mild,"Chinese pharmacopoeia, Daoist herbalism","Ferulic acid, ligustilide",
Nelumbo nucifera,Nelumbo nucifera,China and Southeast Asia,"Sacred lotus; revered in Daoism and Buddhism for inducing tranquility, dream recall, and altered states.","Euphoria, sedation, enhanced dreaming",Modulates dopamine and serotonin; mild sedative effect,"Stress relief, anxiety, spiritual enhancement","Drowsiness, slight nausea",Sedative hypersensitivity,CNS depressants,Low,Legal,Flowers brewed into tea or smoked,20–40 min,Mild to moderate,Daoist and Buddhist pharmacology,"Nuciferine, aporphine",
Uncaria rhynchophylla,Uncaria rhynchophylla,China and Southeast Asia,Known as Gou Teng; used in traditional formulas for calming the spirit and reducing wind (excess neural excitation).,"Neuro-calming, anti-convulsant, mild psychoactivity",Alkaloids modulate GABA and serotonin receptors,"Irritability, epilepsy, hypertension","Gastrointestinal upset, rare dizziness",Low blood pressure,"Antihypertensives, sedatives",Low,Legal,Decoction or powder in formulas,30–60 min,Mild,"Shen Nong Ben Cao Jing, TCM literature","Rhynchophylline, isorhynchophylline",
Anemarrhena asphodeloides,Anemarrhena asphodeloides,China,Used in spiritual tonics for calming heat in the heart and enhancing clarity during meditation.,"Cognitive sharpening, mood stabilization","Neuroinflammation modulation, mild MAO inhibition","Mental fatigue, restlessness, insomnia",Mild gastrointestinal upset,Cold conditions or weak digestion (in TCM terms),"MAOIs, sedatives",Low,Legal,Boiled with other herbs in decoctions,45–60 min,Mild,Daoist healing texts,"Mangiferin, sarsasapogenin",
Atractylodes macrocephala,Atractylodes macrocephala,China,"An adaptogenic herb enhancing mental clarity, used in Daoist alchemy to balance qi and spirit.","Mental energy, mood support",Modulates stress response and digestion via gut-brain axis,"Anxiety, spleen deficiency, mental fog",Rare allergic reaction,Dryness and yin deficiency,"Diuretics, sedatives",Low,Legal,Decoctions or ground into tonic powders,30–90 min,Mild,TCM and Daoist inner alchemy texts,"Atractylenolide I, II, III",
Ipomoea tricolor,Ipomoea tricolor,Mesoamerica,"Known as Tlitliltzin, its seeds were used by the Aztecs for visionary experiences and divination.","Visual hallucinations, introspection, altered time perception","Contains ergine (LSA), a serotonin receptor agonist","Shamanic healing, spiritual diagnosis","Nausea, vasoconstriction, confusion","Pregnancy, cardiovascular disease","MAOIs, SSRIs",Moderate in high doses,Seeds are legal but may be restricted,Crushed seeds ingested or steeped,30–90 min,Moderate to strong,"Codex Florentino, Aztec herbalism","Ergine (LSA), isoergine",
Sinicuichi,Heimia salicifolia,Mesoamerica,Also called 'Sun Opener'; used for auditory hallucinations and dream enhancement.,"Auditory distortion, dream recall, mental clarity",Unknown; thought to alter auditory processing and short-term memory,"Ancestral communication, ritual trance","Muscle relaxation, lethargy",Liver issues,CNS depressants,Low to moderate,Legal in most countries,Fermented leaf infusion,30–60 min,Mild,Ethnobotanical surveys,"Cryogenine, lythrine",
Datura inoxia,Datura inoxia,Mesoamerica,"Called Tolache; used in powerful vision quests, initiation rites, and necromantic rituals.","Delirium, vivid visions, time loss",Anticholinergic via scopolamine and atropine,Rarely therapeutic; mostly ritual use,"Extreme confusion, hallucinations, potential toxicity",All except experienced shamanic use,"Anticholinergics, CNS depressants",High,Controlled or restricted in some countries,Used topically or in diluted teas,30–90 min,Very strong,"Aztec codices, Nahuatl rituals","Scopolamine, atropine, hyoscyamine",
Tanaecium nocturnum,Tanaecium nocturnum,Mesoamerica,Rare vine used in dreaming rites for lucid visions and nocturnal spirit travel.,"Lucid dreaming, spiritual visitation",Unclear; possibly serotonin and GABA modulation,"Night terrors, spiritual exploration","Drowsiness, confusion","Sleep disorders, psychosis","Hypnotics, sedatives",Unknown,Unregulated,Infusion of leaves or flowers,20–60 min,Mild to moderate,Ethnographic records,Undocumented; suspected alkaloids,
Mimosa hostilis,Mimosa tenuiflora,"Brazil, Amazon borderlands",A tree whose root bark is a potent natural source of DMT; used in anahuasca analogues and spiritual ceremonies.,"Powerful open- and closed-eye visuals, ego dissolution, spiritual insights","N,N-DMT acts as an agonist at serotonin 5-HT2A receptors","Trauma resolution, spiritual guidance, consciousness expansion","Overwhelm, disorientation, nausea","Mental health disorders, heart issues","MAOIs, serotonergic medications",High dose caution due to potent DMT content,"Root bark is often unregulated, but extraction/use may be illegal","Boiled with MAOI plants (e.g., caapi) or extracted",30–45 min (oral with MAOI); seconds (smoked),Very strong,"Brazilian shamanic practitioners, online entheogen culture","N,N-DMT, tannins",
Virola elongata,Virola elongata,Amazon,Tree whose resin is used in psychoactive snuffs; closely related to Yopo/epéna use.,"Visual hallucinations, time distortion, intense euphoria",Contains DMT and 5-MeO-DMT,"Spiritual visioning, divination","Sneezing, nasal discomfort","Respiratory conditions, cardiovascular risk",MAOIs,Moderate,Generally unregulated; active compounds may be restricted,Resin dried and powdered into snuff,Immediate (inhaled),Very strong,Shuar and Yanomami tribes,"DMT, 5-MeO-DMT, bufotenine",
