id,common,scientific,category,intensity,region,legalstatus,description,effects,mechanismofaction,compound,tags,interactions,contraindications,dosage,therapeutic,safety,sideeffects,toxicity,toxicity_ld50,is_controlled_substance,sources
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
,,,none,unknown,none,unknown,none,,,,none,none,none,,none,,none,,,false,
